"sample.1" "tissue" "treatment" "day"
"T001F" "F" "control" "0"
"T002F" "F" "control" "0"
"T003F" "F" "control" "0"
"T004F" "F" "control" "0"
"T005F" "F" "control" "0"
"T006F" "F" "control" "0"
"T007F" "F" "control" "0"
"T008F" "F" "control" "0"
"T009F" "F" "control" "0"
"T010F" "F" "control" "0"
"T011F" "F" "control" "0"
"T012F" "F" "control" "0"
"T046F" "F" "DO" "3"
"T049F" "F" "DO" "3"
"T051F" "F" "DO" "3"
"T052F" "F" "DO" "3"
"T055F" "F" "DO" "3"
"T056F" "F" "DO" "3"
"T057F" "F" "DO" "3"
"T058F" "F" "DO" "3"
"T110F" "F" "DO" "3"
"T111F" "F" "DO" "3"
"T112F" "F" "DO" "3"
