"sample.1" "tissue" "treatment" "day"
"T046F" "F" "DO" "3"
"T049F" "F" "DO" "3"
"T051F" "F" "DO" "3"
"T052F" "F" "DO" "3"
"T055F" "F" "DO" "3"
"T056F" "F" "DO" "3"
"T057F" "F" "DO" "3"
"T058F" "F" "DO" "3"
"T110F" "F" "DO" "3"
"T111F" "F" "DO" "3"
"T112F" "F" "DO" "3"
"T126F" "F" "control" "3"
"T127F" "F" "control" "3"
"T128F" "F" "control" "3"
"T129F" "F" "control" "3"
"T130F" "F" "control" "3"
"T131F" "F" "control" "3"
"T132F" "F" "control" "3"
"T133F" "F" "control" "3"
"T134F" "F" "control" "3"
"T135F" "F" "control" "3"
"T136F" "F" "control" "3"
"T137F" "F" "control" "3"
