"sample.1" "tissue" "treatment" "day"
"T001F" "F" "control" "0"
"T002F" "F" "control" "0"
"T003F" "F" "control" "0"
"T004F" "F" "control" "0"
"T005F" "F" "control" "0"
"T006F" "F" "control" "0"
"T007F" "F" "control" "0"
"T008F" "F" "control" "0"
"T009F" "F" "control" "0"
"T010F" "F" "control" "0"
"T011F" "F" "control" "0"
"T012F" "F" "control" "0"
"T014F" "F" "OA" "3"
"T015F" "F" "OA" "3"
"T016F" "F" "OA" "3"
"T017F" "F" "OA" "3"
"T019F" "F" "OA" "3"
"T021F" "F" "OA" "3"
"T023F" "F" "OA" "3"
"T025F" "F" "OA" "3"
"T026F" "F" "OA" "3"
"T027F" "F" "OA" "3"
"T118F" "F" "OA" "3"
"T119F" "F" "OA" "3"
