"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"MT_Pool_HQ_transcript/391185" 7.69446514335243 -8.73144066562057e-08 0.00144269422919759 0.904899210938529 NA
"MT_Pool_HQ_transcript/394211" 9.88969982688467 3.95235298682198e-07 0.0014426930003505 0.748873531145002 NA
"MT_Pool_HQ_transcript/346974" 9.63908955667106 -5.49682702865738e-07 0.0014426947525384 0.29586995929068 NA
"MT_Pool_HQ_transcript/236983" 34.2336707671621 -9.74159852400073e-07 0.00144269457612767 0.171788095441195 0.998689803042538
"MT_Pool_HQ_transcript/301510" 6.3533477274783 2.51814603362442e-07 0.00144269388274547 0.786721795894492 NA
"MT_Pool_HQ_transcript/399154" 160.584301250519 -1.70112961722514e-06 0.00144269218176945 0.277189511869067 0.998689803042538
"MT_Pool_HQ_transcript/99779" 10.2186104708731 4.00055217997137e-06 0.00144268885926643 0.116389536611739 NA
"MT_Pool_HQ_transcript/117420" 15.6263741410146 -2.02191597318808e-06 0.00144268511587623 0.465549097839569 NA
"MT_Pool_HQ_transcript/355556" 48.7804978383612 -6.55134610224922e-08 0.00144269284052872 0.73972261963828 0.998689803042538
"MT_Pool_HQ_transcript/410406" 31.4669570381633 6.54844188673535e-06 0.00144268894781628 0.037637477150136 0.915780273041652
"MT_Pool_HQ_transcript/375993" 307.208460872768 -8.10783655417794e-07 0.00144268011347416 0.803439776424072 0.998689803042538
"MT_Pool_HQ_transcript/407383" 58.7158878021924 1.05726410682831e-07 0.0014426932968703 0.305057879865749 0.998689803042538
"MT_Pool_HQ_transcript/78385" 17.5789889624545 1.2436216631197e-06 0.00144268236769914 0.684443473747649 NA
"MT_Pool_HQ_transcript/120601" 8.21737462181872 -5.37094009154389e-08 0.00144269185345791 0.969994877718372 NA
"MT_Pool_HQ_transcript/414180" 19.8106562924465 1.12228524155232e-06 0.0014426908011788 0.533834342386163 NA
"MT_Pool_HQ_transcript/334220" 21.4734722668228 5.96802084533241e-08 0.00144269462919066 0.857536290513861 NA
"MT_Pool_HQ_transcript/18561" 31.4411406727026 -1.24555111584444e-06 0.00144267977804485 0.708816566002246 0.998689803042538
"MT_Pool_HQ_transcript/402931" 17.1090607006851 -7.1394971712839e-08 0.00144269378277776 0.936557557439339 NA
"MT_Pool_HQ_transcript/231207" 17.516219231049 -5.59307970257589e-07 0.00144269484324299 0.230516537175597 NA
"MT_Pool_HQ_transcript/348141" 8.94512972975843 1.14708185990427e-07 0.00144269311816831 0.636469323732306 NA
"MT_Pool_HQ_transcript/349168" 18.3820103287186 -4.05596240822015e-08 0.00144269187763189 0.976129461130359 NA
"MT_Pool_HQ_transcript/375397" 5.74077544655435 9.97265832800703e-07 0.00144269462723351 0.150377982306081 NA
"MT_Pool_HQ_transcript/60691" 8.59468812093696 -9.77168272070694e-07 0.00144269358091063 0.370756231396907 NA
"MT_Pool_HQ_transcript/943" 24.618413745815 -4.23722076661986e-06 0.0014426786304631 0.258677132267874 NA
"MT_Pool_HQ_transcript/56827" 10.8437120646449 5.37714530505888e-07 0.00144269208929995 0.717386591293224 NA
"MT_Pool_HQ_transcript/320525" 10.9053854700639 -1.44413313926538e-07 0.00144269428505379 0.841723398196832 NA
"MT_Pool_HQ_transcript/379097" 19.5799531196217 1.97445078520684e-06 0.00144268737442207 0.42262741545821 NA
"MT_Pool_HQ_transcript/15912" 10.1805158650616 -2.36180232426235e-06 0.00144269246293848 0.143777670397944 NA
"MT_Pool_HQ_transcript/375482" 23.0527982342758 4.34634211288489e-07 0.00144269424585879 0.582369867046159 NA
"MT_Pool_HQ_transcript/370689" 8.77670511871889 3.41100388726081e-07 0.00144269463543422 0.550196100979637 NA
"MT_Pool_HQ_transcript/355890" 5.86337894190612 -7.11820857993683e-08 0.00144269241959857 0.957251613255863 NA
"MT_Pool_HQ_transcript/77830" 11.613049223147 3.16796182625415e-07 0.00144268766740556 0.892009322355313 NA
"MT_Pool_HQ_transcript/359744" 12.7305145978364 1.26322193831531e-06 0.00144269448956672 0.123674467307141 NA
"MT_Pool_HQ_transcript/32249" 130.55326233657 3.66590534470177e-08 0.00144269454528278 0.233022876187195 0.998689803042538
"MT_Pool_HQ_transcript/398244" 31.8644367757615 1.71481268226115e-07 0.00144269469283937 0.744609283717187 0.998689803042538
"MT_Pool_HQ_transcript/382446" 10.5191105753686 -6.0218691430534e-07 0.00144269411899376 0.478422699464096 NA
"MT_Pool_HQ_transcript/402307" 9.73828807424866 2.91451354256294e-06 0.00144269181782213 0.118467175253656 NA
"MT_Pool_HQ_transcript/308559" 10.1559096159818 -4.56295938780453e-07 0.00144269429761226 0.220340588697828 NA
"MT_Pool_HQ_transcript/29008" 10.2751079180424 3.14701606196099e-06 0.00144268954169845 0.16873121818303 NA
"MT_Pool_HQ_transcript/342735" 221.346525523723 -2.2181172256157e-07 0.00144269444181753 0.729593981448573 0.998689803042538
"MT_Pool_HQ_transcript/401114" 8.62474484080318 -8.66210186340708e-07 0.00144269361396654 0.417268705861547 NA
"MT_Pool_HQ_transcript/263631" 33.0000849404018 -1.78887660741955e-07 0.0014426946333186 0.738011620970374 0.998689803042538
"MT_Pool_HQ_transcript/84560" 34.3097865459707 -9.21546257965357e-07 0.0014426941828419 0.292955721176833 0.998689803042538
"MT_Pool_HQ_transcript/26898" 12.0485891277543 5.30995989288776e-07 0.00144268902000507 0.801008765936805 NA
"MT_Pool_HQ_transcript/209368" 6.27041796502057 -1.09163378160405e-08 0.00144269387108909 0.987957354971803 NA
"MT_Pool_HQ_transcript/61254" 7.85916597610219 4.50922480788076e-08 0.00144268791308697 0.985284702546373 NA
"MT_Pool_HQ_transcript/401231" 12.9274395940907 -4.49109621169003e-07 0.00144268781621311 0.843201790013886 NA
"MT_Pool_HQ_transcript/228728" 6.28733771594983 -1.74111560541312e-06 0.00144269183445222 0.291224911264739 NA
"MT_Pool_HQ_transcript/404377" 345.702820146626 1.01660463897698e-06 0.00144268729017252 0.673908348127915 0.998689803042538
"MT_Pool_HQ_transcript/372014" 123.15219549121 1.22622685083393e-06 0.00144268490852011 0.656320591056888 0.998689803042538
"MT_Pool_HQ_transcript/23945" 6.68440596759772 -5.12714204935365e-08 0.00144268599450514 0.983064898031164 NA
"MT_Pool_HQ_transcript/409990" 13.256971630172 -4.8025271257366e-07 0.00144269420880645 0.546063606748395 NA
"MT_Pool_HQ_transcript/348823" 9472.31486629991 -4.52080512693144e-07 0.00144269362385319 0.65040611154726 0.998689803042538
"MT_Pool_HQ_transcript/240625" 8.2888570512221 2.8488757591618e-06 0.00144268321841699 0.356280490738041 NA
"MT_Pool_HQ_transcript/186303" 16.3203096294608 8.08831377290504e-07 0.00144269459155455 0.797895730888713 NA
"MT_Pool_HQ_transcript/299288" 9.02876661766463 9.32906372594971e-07 0.00144269093344763 0.597092499086133 NA
"MT_Pool_HQ_transcript/113721" 10.7745645842908 -1.9114571298927e-06 0.00144269177185187 0.255827906054503 NA
"MT_Pool_HQ_transcript/308150" 73.9063837928954 -3.23485874402702 0.828480805018357 3.09781391918656e-06 0.00363683354112502
"MT_Pool_HQ_transcript/258426" 8.78562343962559 -4.40272317801245e-07 0.00144269181824012 0.77256830661844 NA
"MT_Pool_HQ_transcript/365647" 53.446307476289 7.11020938794492e-07 0.0014426833607465 0.808999525600205 0.998689803042538
"MT_Pool_HQ_transcript/182899" 14.79010411254 -1.26540479238261e-06 0.0014426931241479 0.3189307897673 NA
"MT_Pool_HQ_transcript/153" 23.0764587110633 -2.15664096932207 0.435107947629076 0.0282715570647164 NA
"MT_Pool_HQ_transcript/296898" 32.7455125360422 -2.42363504445038e-06 0.00144269130937839 0.193499404901232 0.998689803042538
"MT_Pool_HQ_transcript/390644" 7.99246515730427 2.20111774246821e-07 0.00144269423614803 0.77787478897748 NA
"MT_Pool_HQ_transcript/35550" 11.1523839806991 1.68332530545885e-06 0.00144268879368739 0.446093459648537 NA
"MT_Pool_HQ_transcript/371169" 9.401756850866 2.25229994829759e-06 0.0014426946667184 0.0102539102568696 NA
"MT_Pool_HQ_transcript/408240" 478.443744623836 -8.54184147223712e-07 0.00144264314059844 0.887839304816159 0.998689803042538
"MT_Pool_HQ_transcript/286046" 19.5174992950493 4.3263651068598e-09 0.00144269443912609 0.994002636376311 NA
"MT_Pool_HQ_transcript/401200" 7.8951829181175 1.61527501514492e-06 0.00144268438251986 0.569995048743732 NA
"MT_Pool_HQ_transcript/326019" 18.3014863788811 4.48964233841497e-08 0.00144269366163072 0.967855256180865 NA
"MT_Pool_HQ_transcript/402657" 10.6193856074685 4.15334514544659e-07 0.00144269381830156 0.66619911128218 NA
"MT_Pool_HQ_transcript/7927" 5.44579655287696 2.89406117351161e-07 0.00144269353081157 0.784778150559174 NA
"MT_Pool_HQ_transcript/349485" 8.42045642628331 6.43264038870185e-07 0.0014426936635449 0.533831952502128 NA
"MT_Pool_HQ_transcript/237396" 25.8689423157267 -4.33700877495461e-07 0.00144268013719722 0.893665039151643 NA
"MT_Pool_HQ_transcript/283159" 363.509329610103 -4.62671495186378e-07 0.00144269395232883 0.603052040626802 0.998689803042538
"MT_Pool_HQ_transcript/251152" 14.4073423575147 6.19843717476916e-07 0.00144269305493295 0.613952622262197 NA
"MT_Pool_HQ_transcript/299912" 30.7644464403582 1.39024983291104e-09 0.0014426943009246 0.39285988072137 0.998689803042538
"MT_Pool_HQ_transcript/317515" 37.6385951635135 7.45002508691758e-07 0.00144269304525246 0.549318778223377 0.998689803042538
"MT_Pool_HQ_transcript/382430" 16.1073346254173 2.26531554677149e-06 0.00144269330994587 0.108346288901212 NA
"MT_Pool_HQ_transcript/341457" 12.7303075981195 -4.81262446306974e-07 0.0014426937826164 0.618098801216849 NA
"MT_Pool_HQ_transcript/404051" 6.15262577933649 -1.27588704603004e-06 0.00144269199649768 0.41229531799055 NA
"MT_Pool_HQ_transcript/279774" 8.40223870101314 3.25694160398014e-06 0.00144268459109718 0.274708807910476 NA
"MT_Pool_HQ_transcript/268928" 22.5823691493139 1.71034321605835e-07 0.00144269371601397 0.865180250858893 NA
"MT_Pool_HQ_transcript/402535" 776.530218503913 1.00285653910521e-06 0.00144269256608635 0.919475296218005 0.998689803042538
"MT_Pool_HQ_transcript/394368" 25.0132991391972 -8.03592084331819e-07 0.00144269412674244 0.35746107631369 NA
"MT_Pool_HQ_transcript/394617" 55.0736794471742 -1.06375638045358e-07 0.00144269413612932 0.889318697629539 0.998689803042538
"MT_Pool_HQ_transcript/193212" 7.23984627867634 -1.05425330118904e-06 0.00144269324765567 0.380992736745553 NA
"MT_Pool_HQ_transcript/387178" 45.2032465503699 -2.33343041799817e-06 0.00144269402027777 0.935745945427215 0.998689803042538
"MT_Pool_HQ_transcript/211177" 7.2137432793782 -4.77593746462019e-07 0.00144269443688479 0.489219293299783 NA
"MT_Pool_HQ_transcript/268041" 7.27055082077674 -3.32251288448532e-06 0.00144269045677524 0.498313487124097 NA
"MT_Pool_HQ_transcript/321270" 11.2491368686851 2.39555634235054e-07 0.00144269307845751 0.843609592492972 NA
"MT_Pool_HQ_transcript/5826" 10.5523668371315 -3.65699615878747e-06 0.001442690191072 0.109228200071121 NA
"MT_Pool_HQ_transcript/293513" 109.41821330257 -3.77526221768692e-07 0.00144266254783256 0.93682268768386 0.998689803042538
"MT_Pool_HQ_transcript/263213" 10.6203014844699 -6.98328068744045e-07 0.00144268594880601 0.784438069886062 NA
"MT_Pool_HQ_transcript/20202" 10.8727044647395 8.41774005664864e-07 0.0014426800657586 0.799823940834183 NA
"MT_Pool_HQ_transcript/391593" 20.6011104412556 -2.59404397792993e-07 0.00144269213677838 0.855533411791868 NA
"MT_Pool_HQ_transcript/407573" 33.2535889097058 -1.52247591743092e-06 0.00144269411208503 0.133587415389769 0.998689803042538
"MT_Pool_HQ_transcript/309957" 15.1166217391159 -1.23347466384735e-06 0.00144269359734956 0.273281515042045 NA
"MT_Pool_HQ_transcript/344934" 52.9142875850889 -8.67819483173735e-07 0.00144268271178714 0.770893297122224 0.998689803042538
"MT_Pool_HQ_transcript/237326" 12.7929775815541 -1.18054667035203e-06 0.00144269454815916 0.125973425589104 NA
"MT_Pool_HQ_transcript/410000" 6.19540463931072 -1.02167990463139e-06 0.0014426941273501 0.262469821902907 NA
"MT_Pool_HQ_transcript/3827" 7.71666606805293 -4.79414524232467e-06 0.00144269144045412 0.0417065911652039 NA
"MT_Pool_HQ_transcript/406631" 12.3425794388509 -5.67812975143279e-07 0.00144269267973958 0.665569465740583 NA
"MT_Pool_HQ_transcript/40992" 7.27358002416074 1.92503274228856e-06 0.00144269000112581 0.343634906568915 NA
"MT_Pool_HQ_transcript/381655" 60.4148242319134 -1.12218708751315e-06 0.00144269345374571 0.329800242529834 0.998689803042538
"MT_Pool_HQ_transcript/320777" 7.5215385884526 3.93466049073692e-07 0.00144269224559387 0.784492438738439 NA
"MT_Pool_HQ_transcript/265293" 11.1764834286984 -3.49422005079052e-07 0.00144268381282494 0.901274227212399 NA
"MT_Pool_HQ_transcript/124311" 14.3102319010617 -3.54756587640417e-06 0.00144268530718985 0.225800998497004 NA
"MT_Pool_HQ_transcript/349894" 9.68352978017032 -2.04410868208228e-06 0.00144269404555713 0.0771788644393944 NA
"MT_Pool_HQ_transcript/372471" 16.1891939142432 7.28179799524699e-07 0.00144268619117737 0.775504634036196 NA
"MT_Pool_HQ_transcript/394381" 35.3401347471189 -7.68820501865633e-07 0.00144269079833819 0.662295106416279 0.998689803042538
"MT_Pool_HQ_transcript/219800" 15.8457628842505 -9.619206784749e-07 0.00144269421084862 0.266821549017485 NA
"MT_Pool_HQ_transcript/406441" 47.6581725867988 -2.75581984368773e-06 0.00144268946657038 0.218158301452775 0.998689803042538
"MT_Pool_HQ_transcript/45974" 14.9384864552992 2.51775903392216e-06 0.00144268450107849 0.386424402171921 NA
"MT_Pool_HQ_transcript/312872" 12.9041929970235 1.98788535431339e-07 0.00144269450064551 0.75785198005332 NA
"MT_Pool_HQ_transcript/129549" 7.62413327819308 -4.01429329401963e-07 0.00144269412484747 0.626195190615106 NA
"MT_Pool_HQ_transcript/310599" 33.1058882715708 -5.11944577069032e-07 0.00144269260274244 0.699772899047628 0.998689803042538
"MT_Pool_HQ_transcript/347430" 8.42632247121375 -1.56543579872702e-06 0.00144269455015014 0.0702559288590373 NA
"MT_Pool_HQ_transcript/327793" 17.6008681082344 -9.13268009567688e-07 0.00144268999068959 0.63601543258881 NA
"MT_Pool_HQ_transcript/349163" 47.92710757912 3.31348665929278e-07 0.00144269435042235 0.652714106105172 0.998689803042538
"MT_Pool_HQ_transcript/371605" 8.22380559991655 3.8216297590965e-08 0.00144269464243135 0.942121909878228 NA
"MT_Pool_HQ_transcript/315180" 18.5190108166203 -7.78220615536163e-07 0.00144269397176259 0.402599843680235 NA
"MT_Pool_HQ_transcript/375590" 48.5077355630463 3.5799555299782e-07 0.00144269472414261 0.491497437207013 0.998689803042538
"MT_Pool_HQ_transcript/400813" 259.311074590108 1.7334825279843e-06 0.00144269249065331 0.620778515858209 0.998689803042538
"MT_Pool_HQ_transcript/406866" 15.3589158807485 -1.70296509762328e-07 0.00144269415803346 0.8277736119532 NA
"MT_Pool_HQ_transcript/311012" 9.40404750053623 4.07185274678151e-07 0.00144269469235508 0.460136593995605 NA
"MT_Pool_HQ_transcript/35632" 6.4985058455587 3.6560978794561e-07 0.00144269426129659 0.635542975661716 NA
"MT_Pool_HQ_transcript/138557" 6.34481312740187 -5.65225492165869e-07 0.00144269135680871 0.729965231889178 NA
"MT_Pool_HQ_transcript/10394" 11.3833764446509 -3.13720810578706e-08 0.00144269303126618 0.976733528909591 NA
"MT_Pool_HQ_transcript/371941" 26.281140515633 -2.97096092444206e-06 0.00144268611887298 0.279817625150718 0.998689803042538
"MT_Pool_HQ_transcript/244749" 7.98806960939645 -1.35607002016172e-06 0.00144269233557794 0.359725251577045 NA
"MT_Pool_HQ_transcript/389693" 15.379935687847 6.69426001831738e-08 0.00144269393004148 0.944356706893721 NA
"MT_Pool_HQ_transcript/400289" 472.860393811038 -2.80151373087593e-07 0.00144269459658594 0.619982060435715 0.998689803042538
"MT_Pool_HQ_transcript/325307" 8.74355576571151 -2.95385801815467e-06 0.00144269311591963 0.0656234056624656 NA
"MT_Pool_HQ_transcript/310972" 6.02916607547427 3.7012155590484e-07 0.00144269331556205 0.745675036038267 NA
"MT_Pool_HQ_transcript/389751" 30.2579442162257 1.22420593342092e-06 0.00144269378747685 0.254184123220211 0.998689803042538
"MT_Pool_HQ_transcript/116070" 264.207885678607 -1.9255778987921e-06 0.00144266445922308 0.884102312010631 0.998689803042538
"MT_Pool_HQ_transcript/403324" 8.59559728249254 -9.55795328028881e-07 0.00144269181922915 0.540677887882812 NA
"MT_Pool_HQ_transcript/189802" 10.2682295360596 -1.9218670219009e-06 0.00144268949988431 0.363132147917238 NA
"MT_Pool_HQ_transcript/372919" 476.440335124996 -6.68101339721049e-07 0.00144269496958865 0.104057458632544 0.998689803042538
"MT_Pool_HQ_transcript/406661" 6.71542695426644 2.92210721046787e-07 0.00144269457843769 0.628145372546119 NA
"MT_Pool_HQ_transcript/272498" 7.40292188254413 -6.37974262938633e-08 0.0014426943579792 0.924104379280771 NA
"MT_Pool_HQ_transcript/1748" 8.44080270575814 7.24503935457686e-07 0.00144268894905823 0.732908901068847 NA
"MT_Pool_HQ_transcript/299679" 12.0487279496015 2.24556294403538e-07 0.00144268501226094 0.934533667326675 NA
"MT_Pool_HQ_transcript/275335" 322.94290203407 -8.85590615377547e-09 0.00144269447589775 0.977635828160855 0.998689803042538
"MT_Pool_HQ_transcript/368088" 5.46584988632653 -5.11209499517523e-07 0.00144269314118369 0.665140293360039 NA
"MT_Pool_HQ_transcript/274441" 16.2900610625109 2.73695524469087e-07 0.00144269301034113 0.823712939322433 NA
"MT_Pool_HQ_transcript/390441" 7.7164447360039 -4.48698482907257e-07 0.00144269126015063 0.785611455947699 NA
"MT_Pool_HQ_transcript/157418" 5.93759762629571 1.5496386014757e-06 0.00144269326294413 0.271761583447435 NA
"MT_Pool_HQ_transcript/304126" 17.6181142370029 6.42552952147425e-07 0.00144269346540446 0.561115052884304 NA
"MT_Pool_HQ_transcript/250087" 7.57750375165505 -2.21595477070148e-08 0.00144269385607904 0.977349738994163 NA
"MT_Pool_HQ_transcript/349669" 10.6740831927205 -6.3264765329758e-07 0.00144269386695387 0.505819568557835 NA
"MT_Pool_HQ_transcript/405984" 64.8505101826241 4.44820611334215e-07 0.00144268725706932 0.853646178336655 0.998689803042538
"MT_Pool_HQ_transcript/414856" 14.0280811664981 -5.17325990002827e-06 0.00144268471704042 0.11521354328197 NA
"MT_Pool_HQ_transcript/81385" 7.82281331081609 5.09575288362314e-07 0.0014426937977845 0.601290531435372 NA
"MT_Pool_HQ_transcript/87283" 9.68650786413347 1.02468264663254e-06 0.00144269026168013 0.58936106319459 NA
"MT_Pool_HQ_transcript/413999" 200.427386615579 -3.25383324398721e-07 0.00144269187454322 0.697545097859564 0.998689803042538
"MT_Pool_HQ_transcript/83074" 15.5777786426518 -5.64803372359481e-07 0.0014426868539438 0.815618450285016 NA
"MT_Pool_HQ_transcript/363632" 35.8248061078315 -9.66450601003777e-07 0.00144268689571988 0.691712137504069 0.998689803042538
"MT_Pool_HQ_transcript/410875" 6.60258575490094 3.05435589221771e-07 0.00144269210788302 0.836621292477596 NA
"MT_Pool_HQ_transcript/394017" 13.4884304573854 -3.54984465447608e-07 0.00144269442904516 0.600190633123532 NA
"MT_Pool_HQ_transcript/138965" 21.3785300405495 -4.45542191689634e-07 0.00144269398720859 0.613611739919404 NA
"MT_Pool_HQ_transcript/309922" 7.88791872636564 -3.2085520216791e-08 0.00144269394054423 0.968322411797543 NA
"MT_Pool_HQ_transcript/193467" 9.80940968133427 1.75326276296593e-07 0.00144269373903448 0.859845197409513 NA
"MT_Pool_HQ_transcript/86964" 7.83335274139554 8.41766554917344e-07 0.00144269258257547 0.542134782814861 NA
"MT_Pool_HQ_transcript/359968" 5.57510860811545 9.37359501590426e-07 0.00144269356002592 0.393944911949013 NA
"MT_Pool_HQ_transcript/397572" 14.2244369660586 1.47581455548934e-07 0.00144269387075459 0.876420179470886 NA
"MT_Pool_HQ_transcript/414447" 8.42110068507044 -3.58782632818817e-09 0.00144269164310775 0.996495738939005 NA
"MT_Pool_HQ_transcript/212697" 10.1788700864663 -3.11214396582357e-06 0.0014426830191063 0.321586175388456 NA
