"sample.1" "tissue" "treatment" "day"
"T001G" "G" "control" "0"
"T002G" "G" "control" "0"
"T003G" "G" "control" "0"
"T004G" "G" "control" "0"
"T005G" "G" "control" "0"
"T006G" "G" "control" "0"
"T007G" "G" "control" "0"
"T008G" "G" "control" "0"
"T009G" "G" "control" "0"
"T010G" "G" "control" "0"
"T011G" "G" "control" "0"
"T012G" "G" "control" "0"
"T046G" "G" "DO" "3"
"T047G" "G" "DO" "3"
"T049G" "G" "DO" "3"
"T051G" "G" "DO" "3"
"T052G" "G" "DO" "3"
"T055G" "G" "DO" "3"
"T056G" "G" "DO" "3"
"T057G" "G" "DO" "3"
"T058G" "G" "DO" "3"
"T110G" "G" "DO" "3"
"T111G" "G" "DO" "3"
"T112G" "G" "DO" "3"
