"sample.1" "tissue" "treatment" "day"
"T046G" "G" "DO" "3"
"T047G" "G" "DO" "3"
"T049G" "G" "DO" "3"
"T051G" "G" "DO" "3"
"T052G" "G" "DO" "3"
"T055G" "G" "DO" "3"
"T056G" "G" "DO" "3"
"T057G" "G" "DO" "3"
"T058G" "G" "DO" "3"
"T110G" "G" "DO" "3"
"T111G" "G" "DO" "3"
"T112G" "G" "DO" "3"
"T126G" "G" "control" "3"
"T127G" "G" "control" "3"
"T128G" "G" "control" "3"
"T129G" "G" "control" "3"
"T130G" "G" "control" "3"
"T131G" "G" "control" "3"
"T132G" "G" "control" "3"
"T133G" "G" "control" "3"
"T134G" "G" "control" "3"
"T135G" "G" "control" "3"
"T136G" "G" "control" "3"
"T137G" "G" "control" "3"
