"sample.1" "tissue" "treatment" "day"
"T014G" "G" "OA" "3"
"T015G" "G" "OA" "3"
"T016G" "G" "OA" "3"
"T017G" "G" "OA" "3"
"T019G" "G" "OA" "3"
"T021G" "G" "OA" "3"
"T023G" "G" "OA" "3"
"T025G" "G" "OA" "3"
"T026G" "G" "OA" "3"
"T027G" "G" "OA" "3"
"T118G" "G" "OA" "3"
"T119G" "G" "OA" "3"
"T126G" "G" "control" "3"
"T127G" "G" "control" "3"
"T128G" "G" "control" "3"
"T129G" "G" "control" "3"
"T130G" "G" "control" "3"
"T131G" "G" "control" "3"
"T132G" "G" "control" "3"
"T133G" "G" "control" "3"
"T134G" "G" "control" "3"
"T135G" "G" "control" "3"
"T136G" "G" "control" "3"
"T137G" "G" "control" "3"
