"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"MT_Pool_HQ_transcript/391185" 9.42930852829866 -0.32285891922406 0.595250256173513 0.0313934918964688 0.23395467033379
"MT_Pool_HQ_transcript/384890" 7.65269127588642 1.15905943687282 0.501855530097613 0.00186187739115881 0.0380060901777464
"MT_Pool_HQ_transcript/305159" 10.8831856261765 0.0766943920836141 0.371246958870798 0.692973178837185 0.933561962393299
"MT_Pool_HQ_transcript/346974" 20.6045086913928 -0.0391057241598034 0.392638547785826 0.803286772740637 0.963086855759508
"MT_Pool_HQ_transcript/167087" 11.4408871425461 -0.0759609600181563 0.366716002059938 0.696914198797107 0.934164396269742
"MT_Pool_HQ_transcript/301510" 11.9044787909881 0.0369447895920993 0.40143312149739 0.801054678574726 0.962630674503908
"MT_Pool_HQ_transcript/399154" 146.764722812838 1.00518317189898 0.674132877655412 0.0100175828809646 0.115934053406687
"MT_Pool_HQ_transcript/99779" 14.4949564490873 1.18969350612451 0.34390397909411 5.54784455488945e-05 0.00323102277562394
"MT_Pool_HQ_transcript/117420" 31.588184200907 -0.0998163373090241 0.248729231243253 0.621801483199925 0.910476290536382
"MT_Pool_HQ_transcript/378527" 9.6727095642045 -0.0147525513970834 0.417080498062089 0.872419280395078 0.978185581996807
"MT_Pool_HQ_transcript/379385" 6.73515787270882 -0.225539060093049 0.45151686329254 0.225932562719193 0.653591454807419
"MT_Pool_HQ_transcript/138528" 7.92501219485817 -0.00444716245147601 0.314233776669658 0.982181357564671 0.996318776155252
"MT_Pool_HQ_transcript/410406" 31.0080990660131 0.893223428919729 0.574689631678578 0.0118674875437241 0.129044745050017
"MT_Pool_HQ_transcript/149662" 7.12253581091676 0.178868803883103 0.366424224405157 0.413217578763081 0.811169383879465
"MT_Pool_HQ_transcript/344281" 9.52854577515029 -0.12527103902962 0.429593282471191 0.353415344484518 0.768920589697571
"MT_Pool_HQ_transcript/133958" 15.3409312317316 -0.0342297493238774 0.404104706658304 0.800127856988407 0.962388652004566
"MT_Pool_HQ_transcript/375993" 608.650597581961 0.296795393802012 0.225211049087893 0.12324546590922 0.492341222692986
"MT_Pool_HQ_transcript/329393" 12.5421449919469 0.105998537076549 0.432981192196803 0.330896997850798 0.75266427756879
"MT_Pool_HQ_transcript/78385" 21.838148478007 0.917792549158259 0.615249992111113 0.0121262647788305 0.131006967699865
"MT_Pool_HQ_transcript/378021" 21.0956191650386 0.0274597577445356 0.410192128679021 0.825668864831236 0.96842386000393
"MT_Pool_HQ_transcript/120601" 8.53731975486368 -0.38934365697692 0.493236212473764 0.115075146046578 0.476291072773447
"MT_Pool_HQ_transcript/18561" 26.7920105048118 -0.582998765843367 0.272788141262013 0.0097767597502628 0.114308899676
"MT_Pool_HQ_transcript/68861" 7.65366706014969 0.179782829129932 0.352415175093933 0.418124488555336 0.814228861256744
"MT_Pool_HQ_transcript/262512" 68.1228890166386 -0.328888372190397 0.602496061720603 0.0309358163242595 0.231550391466259
"MT_Pool_HQ_transcript/280626" 6.88129238653814 -0.0690100617485766 0.400561474292142 0.655461236322446 0.924230896302129
"MT_Pool_HQ_transcript/156997" 8.54419055467492 0.0322293812856316 0.325118910831559 0.880664823814916 0.978997492562673
"MT_Pool_HQ_transcript/220207" 17.1188734211242 0.0892829099502264 0.407901521659506 0.56041612388779 0.88813540182115
"MT_Pool_HQ_transcript/27464" 12.2736314118333 -0.674893166191005 1.78019845283851 0.00844960939617475 0.104599322237801
"MT_Pool_HQ_transcript/112138" 5.79024606139672 0.0256384082633562 0.396228873129351 0.868041900839601 NA
"MT_Pool_HQ_transcript/364482" 12.5215428143629 -0.0472563520487415 0.404898558878137 0.732187252351327 0.944802522060913
"MT_Pool_HQ_transcript/348141" 15.1259838753067 -0.144607616429746 0.396544705035515 0.408813521812651 0.808698828041109
"MT_Pool_HQ_transcript/83907" 11.0043413199092 0.158932779458016 0.317783364120124 0.47352437523235 0.846309531155479
"MT_Pool_HQ_transcript/26441" 15.0843341631289 0.206731693875034 0.472197969411895 0.157637841143384 0.552090275734127
"MT_Pool_HQ_transcript/387312" 12.7559563910142 0.485179392532929 0.659354303539763 0.0578098348159098 0.33123751663134
"MT_Pool_HQ_transcript/943" 51.8668009848995 -0.267994324056801 0.188763452958508 0.112535791894108 0.470789354495948
"MT_Pool_HQ_transcript/56827" 49.8337353964875 1.3627808264337 1.13546743389425 0.00715888570539299 0.0936782857951449
"MT_Pool_HQ_transcript/320525" 31.726167577814 0.0347498370501575 0.415493331581659 0.754180293979047 0.951779490954492
"MT_Pool_HQ_transcript/390536" 13.770964863583 -0.0209864282342385 0.367979673942026 0.909112132042244 0.984447369458899
"MT_Pool_HQ_transcript/15912" 103.841396983497 -1.02135805219226 0.380002682997115 0.000804591557360425 0.0219143303961146
"MT_Pool_HQ_transcript/375482" 10.1613779173679 0.0171869082040166 0.395880070978507 0.912489745637464 0.985215899043183
"MT_Pool_HQ_transcript/355890" 14.2479202418776 0.399477910888239 0.3580660588103 0.108006262761673 0.460927222216445
"MT_Pool_HQ_transcript/360731" 13.5368371105739 -0.0831608736631894 0.381122667376087 0.651864293829761 0.922722698300645
"MT_Pool_HQ_transcript/373585" 14.2770911656158 0.231529176406184 0.309876795898016 0.304284665394942 0.728985968531904
"MT_Pool_HQ_transcript/32249" 39.421899499774 -0.0899066420663811 0.42812917446703 0.392122528641324 0.798139162628206
"MT_Pool_HQ_transcript/398244" 74.3362942660602 0.138495114840006 0.44095720224563 0.269206988536594 0.697811541214264
"MT_Pool_HQ_transcript/380197" 8.4016875561335 -0.0287831274714884 0.397298398593639 0.845638889242974 0.973074619403798
"MT_Pool_HQ_transcript/43510" 7.13771082815364 -0.699425985310655 0.582259298935204 0.0294505529954703 0.225351813264611
"MT_Pool_HQ_transcript/380699" 6.81028202265289 0.18030711137492 0.40534435313735 0.367414296709141 0.779781582183765
"MT_Pool_HQ_transcript/382446" 54.8689508895752 0.194936181116313 0.381016739245203 0.36973585872208 0.781726458678142
"MT_Pool_HQ_transcript/402307" 11.1618803517403 -0.234377742974834 0.46588310713344 0.192355208856999 0.608682435327038
"MT_Pool_HQ_transcript/203998" 11.468450112965 -0.0695062884555533 0.291324833446824 0.744199597758063 0.948743781697652
"MT_Pool_HQ_transcript/29008" 13.7090112900593 -0.331203848598774 0.26945397859097 0.12484750118991 0.495509401191943
"MT_Pool_HQ_transcript/135950" 9.90020462458252 -0.667256152831163 0.417261697369939 0.0209678289615306 0.18413224722703
"MT_Pool_HQ_transcript/56603" 5.66632105573543 -0.291235522211606 0.501292080747485 0.13620990038075 NA
"MT_Pool_HQ_transcript/63390" 8.54308969606869 0.39676406755694 0.41232917312103 0.120683226301324 0.487334176810709
"MT_Pool_HQ_transcript/401114" 9.32122919499926 -0.0559307079454982 0.384528655863815 0.747437292923752 0.949689085550919
"MT_Pool_HQ_transcript/263631" 131.158978025132 0.0471599522057249 0.410903996341618 0.715492575843035 0.939463954289652
"MT_Pool_HQ_transcript/324810" 8.48634965273357 -0.52888500679851 0.474231084809729 0.0601271884672822 0.339836335533128
"MT_Pool_HQ_transcript/396889" 28.4972832610675 -0.225417564663366 0.398209712241178 0.301876629619692 0.72636753364604
"MT_Pool_HQ_transcript/241606" 12.2319716228385 0.00774055225587384 0.417221542139539 0.940046887398493 0.99052224276203
"MT_Pool_HQ_transcript/404042" 25.9109586393288 0.0619576195345289 0.405274894023053 0.671920422610913 0.926846782198517
"MT_Pool_HQ_transcript/381687" 8.67778740223529 -0.313010148637973 0.524422409514389 0.11123959280209 0.467429562452319
"MT_Pool_HQ_transcript/26898" 14.4923002445277 -1.35048643809318 0.593045065099954 0.00144902803679499 0.0321899314267699
"MT_Pool_HQ_transcript/209368" 11.8548483725978 -0.0412557191923321 0.412865349771245 0.722904877357981 0.942494678757821
"MT_Pool_HQ_transcript/277372" 94.7224848427088 -0.0107673886025431 0.412300209744687 0.915039074204923 0.985705073839223
"MT_Pool_HQ_transcript/61254" 18.8667643617336 0.127296962797096 0.279352553760342 0.552750209172158 0.885274272194118
"MT_Pool_HQ_transcript/371624" 22.9385828549287 0.0934605200505503 0.427067666177195 0.410228427867779 0.809155979893455
"MT_Pool_HQ_transcript/314315" 7.55593101677048 0.0863688026142627 0.398743053015862 0.60347150698235 0.904224203682032
"MT_Pool_HQ_transcript/222921" 28.7342263306196 0.0232342724746711 0.419601936115799 0.799177474679903 0.962388652004566
"MT_Pool_HQ_transcript/396265" 9.43517715521114 -0.0689443645910996 0.402917885474198 0.647321613296627 0.920697782817606
"MT_Pool_HQ_transcript/401231" 43.6946873174697 -0.189492266893226 0.182463775311428 0.249672342521006 0.679761878550823
"MT_Pool_HQ_transcript/365149" 7.42089341688287 -0.389138219854644 0.354129963146045 0.114852634286508 0.476083646484889
"MT_Pool_HQ_transcript/259531" 16.3113247022468 -0.327320199611013 0.482744349431384 0.147332512105473 0.534181342556616
