"sample.1" "tissue" "treatment" "day"
"T029G" "G" "OW" "3"
"T030G" "G" "OW" "3"
"T031G" "G" "OW" "3"
"T033G" "G" "OW" "3"
"T034G" "G" "OW" "3"
"T035G" "G" "OW" "3"
"T036G" "G" "OW" "3"
"T037G" "G" "OW" "3"
"T038G" "G" "OW" "3"
"T039G" "G" "OW" "3"
"T040G" "G" "OW" "3"
"T041G" "G" "OW" "3"
"T126G" "G" "control" "3"
"T127G" "G" "control" "3"
"T128G" "G" "control" "3"
"T129G" "G" "control" "3"
"T130G" "G" "control" "3"
"T131G" "G" "control" "3"
"T132G" "G" "control" "3"
"T133G" "G" "control" "3"
"T134G" "G" "control" "3"
"T135G" "G" "control" "3"
"T136G" "G" "control" "3"
"T137G" "G" "control" "3"
