"sample.1" "tissue" "treatment" "day"
"T014G" "G" "OA" 3
"T015G" "G" "OA" 3
"T016G" "G" "OA" 3
"T017G" "G" "OA" 3
"T019G" "G" "OA" 3
"T021G" "G" "OA" 3
"T023G" "G" "OA" 3
"T025G" "G" "OA" 3
"T026G" "G" "OA" 3
"T027G" "G" "OA" 3
"T029G" "G" "OW" 3
"T030G" "G" "OW" 3
"T031G" "G" "OW" 3
"T033G" "G" "OW" 3
"T034G" "G" "OW" 3
"T035G" "G" "OW" 3
"T036G" "G" "OW" 3
"T037G" "G" "OW" 3
"T038G" "G" "OW" 3
"T039G" "G" "OW" 3
"T040G" "G" "OW" 3
"T041G" "G" "OW" 3
"T046G" "G" "DO" 3
"T047G" "G" "DO" 3
"T049G" "G" "DO" 3
"T051G" "G" "DO" 3
"T052G" "G" "DO" 3
"T055G" "G" "DO" 3
"T056G" "G" "DO" 3
"T057G" "G" "DO" 3
"T058G" "G" "DO" 3
"T110G" "G" "DO" 3
"T111G" "G" "DO" 3
"T112G" "G" "DO" 3
"T118G" "G" "OA" 3
"T119G" "G" "OA" 3
"T126G" "G" "control_3" 3
"T127G" "G" "control_3" 3
"T128G" "G" "control_3" 3
"T129G" "G" "control_3" 3
"T130G" "G" "control_3" 3
"T131G" "G" "control_3" 3
"T132G" "G" "control_3" 3
"T133G" "G" "control_3" 3
"T134G" "G" "control_3" 3
"T135G" "G" "control_3" 3
"T136G" "G" "control_3" 3
"T137G" "G" "control_3" 3
