qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/264541,85.308,1300,183,5,1,1296,29,1324,0,1336
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/273573,85.165,1301,184,6,1,1296,31,1327,0,1325
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/289409,84.692,1300,191,5,1,1296,28,1323,0,1291
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/292864,86.433,1172,153,6,126,1296,16,1182,0,1279
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/293617,85.012,1201,169,6,1,1194,29,1225,0,1210
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/163047,85.012,1201,169,6,1,1194,29,1225,0,1210
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/273068,84.929,1201,164,12,1,1194,29,1219,0,1199
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/262250,84.846,1201,171,6,1,1194,29,1225,0,1199
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/239398,84.917,1200,166,9,1,1194,29,1219,0,1199
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/181935,84.929,1201,164,12,1,1194,28,1218,0,1199
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/171688,84.866,1196,170,8,1,1189,28,1219,0,1195
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/157618,84.763,1201,172,6,1,1194,29,1225,0,1194
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/305739,86.055,1090,149,3,208,1296,1,1088,0,1168
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/272056,84.346,1201,177,6,1,1194,29,1225,0,1166
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/296071,85.149,1138,161,5,1,1134,29,1162,0,1158
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/256626,84.215,1210,164,22,1,1194,29,1227,0,1151
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/275018,85.505,1090,148,7,109,1194,1,1084,0,1129
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/318119,85.359,1045,142,8,1,1040,29,1067,0,1072
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/312960,85.537,968,135,5,330,1296,8,971,0,1007
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/257463,84.384,1031,136,20,1,1026,29,1039,0,989
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/291437,85.34,955,135,3,244,1194,1,954,0,983
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/286021,83.883,1030,154,9,1,1026,29,1050,0,972
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/252552,83.965,1029,149,12,1,1026,28,1043,0,972
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/236061,83.883,1030,154,9,1,1026,28,1049,0,972
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/161739,83.883,1030,151,11,1,1026,28,1046,0,968
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/225440,83.868,1029,150,12,1,1026,29,1044,0,966
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/166761,83.786,1030,156,11,1,1026,30,1052,0,966
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/159848,83.802,1031,154,10,1,1026,28,1050,0,966
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/241025,83.786,1030,154,10,1,1026,29,1049,0,965
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/154247,83.721,1032,154,11,1,1026,29,1052,0,963
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/297345,82.886,1081,173,9,227,1296,148,1227,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/290114,83.818,1032,145,18,1,1026,29,1044,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/283684,83.689,1030,156,9,1,1026,28,1049,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/208209,83.689,1030,156,9,1,1026,29,1050,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/153999,83.721,1032,152,12,1,1026,30,1051,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/130674,83.689,1030,156,9,1,1026,29,1050,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/123195,83.689,1030,156,9,1,1026,29,1050,0,961
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/294206,83.721,1032,146,17,1,1026,28,1043,0,955
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/90678,83.673,1029,152,12,1,1026,28,1043,0,955
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/281778,83.737,1033,143,18,1,1026,28,1042,0,953
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/272305,83.656,1034,146,15,1,1026,29,1047,0,952
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/283800,83.64,1033,146,19,1,1026,29,1045,0,950
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/264103,83.592,1030,152,13,1,1026,29,1045,0,950
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/202744,83.543,1033,147,19,1,1026,31,1047,0,944
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/264682,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/251996,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/248734,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/247340,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/238940,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/152990,84.696,954,134,8,1,951,29,973,0,942
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/140226,83.236,1032,157,12,1,1026,28,1049,0,933
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/256886,83.14,1032,158,12,1,1026,29,1050,0,928
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/129405,83.14,1032,158,12,1,1026,29,1050,0,928
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/103306,83.14,1032,157,13,1,1026,29,1049,0,926
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/269078,85.459,894,122,5,1,890,29,918,0,924
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/97160,83.043,1032,159,12,1,1026,31,1052,0,922
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/28831,84.868,912,131,6,1,907,29,938,0,913
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/41706,84.742,911,131,5,1,907,29,935,0,905
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/31493,84.725,910,127,8,1,907,29,929,0,900
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/258224,84.539,912,129,11,118,1026,29,931,0,893
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/327319,85.219,866,125,3,432,1296,1,864,0,887
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/271032,84.876,886,122,6,68,951,4,879,0,883
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/257688,83.644,966,130,25,1,951,30,982,0,883
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/225554,84.452,894,131,5,1,890,28,917,0,874
