"UniProt_ID","Summary"
"Q9Y2Q3","This gene encodes a member of the kappa class of the glutathione transferase superfamily of enzymes that function in cellular detoxification. The encoded protein is localized to the peroxisome and catalyzes the conjugation of glutathione to a wide range of hydrophobic substates facilitating the removal of these compounds from cells. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Jan 2009]"
"Q1HG43","Dual oxidases DUOX1 and DUOX2 are NADPH oxidases which are involved in hydrogen peroxide production necessary for thyroid hormonogenesis. They form a heterodimer with specific maturation factors DUOXA1 and DUOXA2, respectively, which is essential for the maturation and function of the DUOX enzyme complexes. This gene encodes the DUOX1 activator or maturation factor DUOXA1. Rat studies identified a bidirectional promoter which controls the transcription of the DUOX1 and DUOXA1 genes. This protein is cotransported to the cell surface when coexpressed with DUOX1 and is retained in the endoplasmic reticulum when expressed without DUOX1 protein. The expression of this gene or the DUOX1 gene is not suppressed by thyroglobulin (Tg), a macromolecular precursor in thyroid hormone synthesis, while the expression of the DUOX2 and DUOXA2 are significantly suppressed by the Tg. This protein is also a p53-regulated neurogenic factor involved in p53 dependent neuronal differentiation. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2013]"
"A0A193DUA2","No match found"
"P46436",""
"P42620",""
"P78417","The protein encoded by this gene belongs to the MYST family of histone acetyl transferases (HATs) and was originally isolated as an HIV-1 TAT-interactive protein. HATs play important roles in regulating chromatin remodeling, transcription and other nuclear processes by acetylating histone and nonhistone proteins. This protein is a histone acetylase that has a role in DNA repair and apoptosis and is thought to play an important role in signal transduction. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]"
"Q8R5I6","Enables glutathione transferase activity. Acts upstream of or within nitrobenzene metabolic process and xenobiotic catabolic process. Predicted to be located in cytosol and intercellular bridge. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; integumental system; and nose. Orthologous to human GSTM4 (glutathione S-transferase mu 4). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8CIY2","Predicted to enable superoxide-generating NAD(P)H oxidase activity. Predicted to be involved in several processes, including hydrogen peroxide biosynthetic process; response to cAMP; and superoxide anion generation. Predicted to act upstream of or within reactive oxygen species metabolic process. Predicted to be located in cell leading edge; cell surface; and endoplasmic reticulum. Predicted to be part of NADPH oxidase complex. Predicted to be active in plasma membrane. Orthologous to human DUOX1 (dual oxidase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q3SZJ4",""
"B2GV72","Enables 3-keto sterol reductase activity and carbonyl reductase (NADPH) activity. Involved in phylloquinone catabolic process. Predicted to be located in cytosol and nucleoplasm. Orthologous to human CBR3 (carbonyl reductase 3). [provided by Alliance of Genome Resources, Mar 2025]"
