"","loc_id","Protein.names","uniprot_accession.y","Gene.Names","Organism","sample","count","tissue","treatment","day"
"1","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T001F",0,"F","control","0"
"2","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T001FX",0,"X","control","0"
"3","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T001G",0,"G","control","0"
"4","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T002F",0,"F","control","0"
"5","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T002FX",0,"X","control","0"
"6","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T002G",0,"G","control","0"
"7","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T003F",1,"F","control","0"
"8","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T003FX",0,"X","control","0"
"9","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T003G",0,"G","control","0"
"10","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T004F",0,"F","control","0"
"11","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T004FX",0,"X","control","0"
"12","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T004G",0,"G","control","0"
"13","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T005F",0,"F","control","0"
"14","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T005FX",0,"X","control","0"
"15","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T005G",0,"G","control","0"
"16","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T006F",0,"F","control","0"
"17","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T006FX",0,"X","control","0"
"18","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T006G",0,"G","control","0"
"19","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T007F",0,"F","control","0"
"20","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T007FX",0,"X","control","0"
"21","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T007G",0,"G","control","0"
"22","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T008F",0,"F","control","0"
"23","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T008FX",0,"X","control","0"
"24","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T008G",0,"G","control","0"
"25","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T009F",0,"F","control","0"
"26","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T009FX",0,"X","control","0"
"27","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T009G",0,"G","control","0"
"28","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T010F",0,"F","control","0"
"29","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T010FX",0,"X","control","0"
"30","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T010G",0,"G","control","0"
"31","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T011F",0,"F","control","0"
"32","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T011FX",0,"X","control","0"
